ID,Team,Conf,Year
193,Miami (OH),mac,2006
194,Ohio State,big-ten,2006
195,Ohio,mac,2006
197,Oklahoma State,big-12,2006
201,Oklahoma,big-12,2006
202,Tulsa,cusa,2006
204,Oregon State,pac-12,2006
213,Penn State,big-ten,2006
218,Temple,independent,2006
221,Pitt,big-east,2006
222,NotMajor,NotMajor,2006
227,NotMajor,NotMajor,2006
228,Clemson,acc,2006
231,NotMajor,NotMajor,2006
235,Memphis,cusa,2006
236,NotMajor,NotMajor,2006
238,Vanderbilt,sec,2006
239,Baylor,big-12,2006
242,Rice,cusa,2006
245,Texas A&M,big-12,2006
248,Houston,cusa,2006
249,North Texas,sun-belt,2006
251,Texas,big-12,2006
252,Brigham Young,mwc,2006
253,NotMajor,NotMajor,2006
254,Utah,mwc,2006
257,NotMajor,NotMajor,2006
258,Virginia,acc,2006
259,Virginia Tech,acc,2006
264,Washington,pac-12,2006
265,Washington State,pac-12,2006
275,Wisconsin,big-ten,2006
276,Marshall,cusa,2006
277,West Virginia,big-east,2006
278,Fresno State,wac,2006
282,NotMajor,NotMajor,2006
302,NotMajor,NotMajor,2006
304,NotMajor,NotMajor,2006
309,Louisiana-Lafayette,sun-belt,2006
311,NotMajor,NotMajor,2006
326,NotMajor,NotMajor,2006
328,Utah State,wac,2006
331,NotMajor,NotMajor,2006
333,Alabama,sec,2006
344,Mississippi State,sec,2006
349,Army,independent,2006
356,Illinois,big-ten,2006
2005,Air Force,mwc,2006
2006,Akron,mac,2006
2011,NotMajor,NotMajor,2006
2016,NotMajor,NotMajor,2006
2026,NotMajor,NotMajor,2006
2032,Arkansas State,sun-belt,2006
2050,Ball State,mac,2006
2084,Buffalo,mac,2006
2116,UCF,cusa,2006
2117,Central Michigan,mac,2006
2132,Cincinnati,big-east,2006
2197,NotMajor,NotMajor,2006
2198,NotMajor,NotMajor,2006
2199,Eastern Michigan,mac,2006
2226,Florida Atlantic,sun-belt,2006
2229,Florida International,sun-belt,2006
2275,NotMajor,NotMajor,2006
2287,NotMajor,NotMajor,2006
2294,Iowa,big-ten,2006
2305,Kansas,big-12,2006
2306,Kansas State,big-12,2006
2309,Kent State,mac,2006
2335,NotMajor,NotMajor,2006
2348,Louisiana Tech,wac,2006
2377,NotMajor,NotMajor,2006
2390,Miami (FL),acc,2006
2393,Middle Tennessee State,sun-belt,2006
2426,Navy,independent,2006
2433,Louisiana-Monroe,sun-belt,2006
2439,Nevada-Las Vegas,mwc,2006
2440,Nevada,wac,2006
2447,NotMajor,NotMajor,2006
2448,NotMajor,NotMajor,2006
2449,NotMajor,NotMajor,2006
2459,Northern Illinois,mac,2006
2460,NotMajor,NotMajor,2006
2464,NotMajor,NotMajor,2006
2466,NotMajor,NotMajor,2006
2483,Oregon,pac-12,2006
2502,NotMajor,NotMajor,2006
2509,Purdue,big-ten,2006
2534,NotMajor,NotMajor,2006
2535,NotMajor,NotMajor,2006
2545,NotMajor,NotMajor,2006
2546,NotMajor,NotMajor,2006
2567,SMU,cusa,2006
2572,Southern Mississippi,cusa,2006
2579,South Carolina,sec,2006
2617,NotMajor,NotMajor,2006
2623,NotMajor,NotMajor,2006
2628,Texas Christian,mwc,2006
2630,NotMajor,NotMajor,2006
2633,Tennessee,sec,2006
2634,NotMajor,NotMajor,2006
2635,NotMajor,NotMajor,2006
2638,UTEP,cusa,2006
2640,NotMajor,NotMajor,2006
2641,Texas Tech,big-12,2006
2643,NotMajor,NotMajor,2006
2649,Toledo,mac,2006
2653,Troy,sun-belt,2006
2655,Tulane,cusa,2006
2678,NotMajor,NotMajor,2006
2692,NotMajor,NotMajor,2006
2710,NotMajor,NotMajor,2006
2711,Western Michigan,mac,2006
2717,NotMajor,NotMajor,2006
2729,NotMajor,NotMajor,2006
2747,NotMajor,NotMajor,2006
2751,Wyoming,mwc,2006
2754,NotMajor,NotMajor,2006
2755,NotMajor,NotMajor,2006
2,Auburn,sec,2007
5,UAB,cusa,2007
8,Arkansas,sec,2007
9,Arizona State,pac-12,2007
12,Arizona,pac-12,2007
13,NotMajor,NotMajor,2007
16,NotMajor,NotMajor,2007
21,San Diego State,mwc,2007
23,SJSU,wac,2007
24,Stanford,pac-12,2007
25,California,pac-12,2007
26,UCLA,pac-12,2007
30,USC,pac-12,2007
36,Colorado State,mwc,2007
38,Colorado,big-12,2007
41,Connecticut,big-east,2007
47,NotMajor,NotMajor,2007
48,NotMajor,NotMajor,2007
52,Florida State,acc,2007
55,NotMajor,NotMajor,2007
57,Florida,sec,2007
58,South Florida,big-east,2007
59,Georgia Tech,acc,2007
61,Georgia,sec,2007
62,Hawaii,wac,2007
66,Iowa State,big-12,2007
68,Boise State,wac,2007
70,Idaho,wac,2007
77,Northwestern,big-ten,2007
79,NotMajor,NotMajor,2007
84,Indiana,big-ten,2007
87,Notre Dame,independent,2007
93,NotMajor,NotMajor,2007
96,Kentucky,sec,2007
97,Louisville,big-east,2007
98,Western Kentucky,independent,2007
99,LSU,sec,2007
103,Boston College,acc,2007
111,NotMajor,NotMajor,2007
113,NotMajor,NotMajor,2007
120,Maryland,acc,2007
127,Michigan State,big-ten,2007
130,Michigan,big-ten,2007
135,Minnesota,big-ten,2007
142,Missouri,big-12,2007
145,Ole Miss,sec,2007
147,NotMajor,NotMajor,2007
150,Duke,acc,2007
151,East Carolina,cusa,2007
152,North Carolina State,acc,2007
153,North Carolina,acc,2007
154,Wake Forest,acc,2007
158,Nebraska,big-12,2007
160,NotMajor,NotMajor,2007
164,Rutgers,big-east,2007
166,New Mexico State,wac,2007
167,New Mexico,mwc,2007
183,Syracuse,big-east,2007
189,Bowling Green State,mac,2007
193,Miami (OH),mac,2007
194,Ohio State,big-ten,2007
195,Ohio,mac,2007
197,Oklahoma State,big-12,2007
201,Oklahoma,big-12,2007
202,Tulsa,cusa,2007
204,Oregon State,pac-12,2007
213,Penn State,big-ten,2007
218,Temple,mac,2007
221,Pitt,big-east,2007
222,NotMajor,NotMajor,2007
227,NotMajor,NotMajor,2007
228,Clemson,acc,2007
231,NotMajor,NotMajor,2007
235,Memphis,cusa,2007
236,NotMajor,NotMajor,2007
238,Vanderbilt,sec,2007
239,Baylor,big-12,2007
242,Rice,cusa,2007
245,Texas A&M,big-12,2007
248,Houston,cusa,2007
249,North Texas,sun-belt,2007
251,Texas,big-12,2007
252,Brigham Young,mwc,2007
254,Utah,mwc,2007
256,NotMajor,NotMajor,2007
257,NotMajor,NotMajor,2007
258,Virginia,acc,2007
259,Virginia Tech,acc,2007
264,Washington,pac-12,2007
265,Washington State,pac-12,2007
275,Wisconsin,big-ten,2007
276,Marshall,cusa,2007
277,West Virginia,big-east,2007
278,Fresno State,wac,2007
282,NotMajor,NotMajor,2007
290,NotMajor,NotMajor,2007
302,NotMajor,NotMajor,2007
304,NotMajor,NotMajor,2007
309,Louisiana-Lafayette,sun-belt,2007
311,NotMajor,NotMajor,2007
326,NotMajor,NotMajor,2007
328,Utah State,wac,2007
331,NotMajor,NotMajor,2007
333,Alabama,sec,2007
344,Mississippi State,sec,2007
349,Army,independent,2007
356,Illinois,big-ten,2007
2005,Air Force,mwc,2007
2006,Akron,mac,2007
2016,NotMajor,NotMajor,2007
2026,NotMajor,NotMajor,2007
2029,NotMajor,NotMajor,2007
2032,Arkansas State,sun-belt,2007
2050,Ball State,mac,2007
2084,Buffalo,mac,2007
2110,NotMajor,NotMajor,2007
2115,NotMajor,NotMajor,2007
2116,UCF,cusa,2007
2117,Central Michigan,mac,2007
2127,NotMajor,NotMajor,2007
2132,Cincinnati,big-east,2007
2169,NotMajor,NotMajor,2007
2197,NotMajor,NotMajor,2007
2198,NotMajor,NotMajor,2007
2199,Eastern Michigan,mac,2007
2210,NotMajor,NotMajor,2007
2226,Florida Atlantic,sun-belt,2007
2229,Florida International,sun-belt,2007
2241,NotMajor,NotMajor,2007
2287,NotMajor,NotMajor,2007
2294,Iowa,big-ten,2007
2305,Kansas,big-12,2007
2306,Kansas State,big-12,2007
2309,Kent State,mac,2007
2335,NotMajor,NotMajor,2007
2348,Louisiana Tech,wac,2007
2377,NotMajor,NotMajor,2007
2390,Miami (FL),acc,2007
2393,Middle Tennessee State,sun-belt,2007
2413,NotMajor,NotMajor,2007
2426,Navy,independent,2007
2428,NotMajor,NotMajor,2007
2433,Louisiana-Monroe,sun-belt,2007
2439,Nevada-Las Vegas,mwc,2007
2440,Nevada,wac,2007
2447,NotMajor,NotMajor,2007
2449,NotMajor,NotMajor,2007
2450,NotMajor,NotMajor,2007
2458,NotMajor,NotMajor,2007
2459,Northern Illinois,mac,2007
2460,NotMajor,NotMajor,2007
2464,NotMajor,NotMajor,2007
2466,NotMajor,NotMajor,2007
2483,Oregon,pac-12,2007
2502,NotMajor,NotMajor,2007
2509,Purdue,big-ten,2007
2534,NotMajor,NotMajor,2007
2535,NotMajor,NotMajor,2007
2545,NotMajor,NotMajor,2007
2546,NotMajor,NotMajor,2007
2567,SMU,cusa,2007
2569,NotMajor,NotMajor,2007
2572,Southern Mississippi,cusa,2007
2579,South Carolina,sec,2007
2623,NotMajor,NotMajor,2007
2628,Texas Christian,mwc,2007
2630,NotMajor,NotMajor,2007
2633,Tennessee,sec,2007
2635,NotMajor,NotMajor,2007
2638,UTEP,cusa,2007
2640,NotMajor,NotMajor,2007
2641,Texas Tech,big-12,2007
2643,NotMajor,NotMajor,2007
2649,Toledo,mac,2007
2653,Troy,sun-belt,2007
2655,Tulane,cusa,2007
2692,NotMajor,NotMajor,2007
2706,NotMajor,NotMajor,2007
2710,NotMajor,NotMajor,2007
2711,Western Michigan,mac,2007
2717,NotMajor,NotMajor,2007
2729,NotMajor,NotMajor,2007
2747,NotMajor,NotMajor,2007
2751,Wyoming,mwc,2007
2754,NotMajor,NotMajor,2007
2755,NotMajor,NotMajor,2007
2,Auburn,sec,2008
5,UAB,cusa,2008
8,Arkansas,sec,2008
9,Arizona State,pac-12,2008
12,Arizona,pac-12,2008
13,NotMajor,NotMajor,2008
16,NotMajor,NotMajor,2008
21,San Diego State,mwc,2008
23,SJSU,wac,2008
24,Stanford,pac-12,2008
25,California,pac-12,2008
26,UCLA,pac-12,2008
30,USC,pac-12,2008
36,Colorado State,mwc,2008
38,Colorado,big-12,2008
41,Connecticut,big-east,2008
48,NotMajor,NotMajor,2008
52,Florida State,acc,2008
55,NotMajor,NotMajor,2008
57,Florida,sec,2008
58,South Florida,big-east,2008
59,Georgia Tech,acc,2008
61,Georgia,sec,2008
62,Hawaii,wac,2008
66,Iowa State,big-12,2008
68,Boise State,wac,2008
70,Idaho,wac,2008
77,Northwestern,big-ten,2008
79,NotMajor,NotMajor,2008
84,Indiana,big-ten,2008
87,Notre Dame,independent,2008
93,NotMajor,NotMajor,2008
96,Kentucky,sec,2008
97,Louisville,big-east,2008
98,Western Kentucky,independent,2008
99,LSU,sec,2008
103,Boston College,acc,2008
111,NotMajor,NotMajor,2008
113,NotMajor,NotMajor,2008
119,NotMajor,NotMajor,2008
120,Maryland,acc,2008
127,Michigan State,big-ten,2008
130,Michigan,big-ten,2008
135,Minnesota,big-ten,2008
142,Missouri,big-12,2008
145,Ole Miss,sec,2008
147,NotMajor,NotMajor,2008
150,Duke,acc,2008
151,East Carolina,cusa,2008
152,North Carolina State,acc,2008
153,North Carolina,acc,2008
154,Wake Forest,acc,2008
158,Nebraska,big-12,2008
160,NotMajor,NotMajor,2008
164,Rutgers,big-east,2008
166,New Mexico State,wac,2008
167,New Mexico,mwc,2008
183,Syracuse,big-east,2008
189,Bowling Green State,mac,2008
193,Miami (OH),mac,2008
194,Ohio State,big-ten,2008
195,Ohio,mac,2008
197,Oklahoma State,big-12,2008
201,Oklahoma,big-12,2008
202,Tulsa,cusa,2008
204,Oregon State,pac-12,2008
213,Penn State,big-ten,2008
218,Temple,mac,2008
221,Pitt,big-east,2008
222,NotMajor,NotMajor,2008
227,NotMajor,NotMajor,2008
228,Clemson,acc,2008
231,NotMajor,NotMajor,2008
235,Memphis,cusa,2008
236,NotMajor,NotMajor,2008
238,Vanderbilt,sec,2008
239,Baylor,big-12,2008
242,Rice,cusa,2008
245,Texas A&M,big-12,2008
248,Houston,cusa,2008
249,North Texas,sun-belt,2008
251,Texas,big-12,2008
252,Brigham Young,mwc,2008
253,NotMajor,NotMajor,2008
254,Utah,mwc,2008
256,NotMajor,NotMajor,2008
257,NotMajor,NotMajor,2008
258,Virginia,acc,2008
259,Virginia Tech,acc,2008
264,Washington,pac-12,2008
265,Washington State,pac-12,2008
275,Wisconsin,big-ten,2008
276,Marshall,cusa,2008
277,West Virginia,big-east,2008
278,Fresno State,wac,2008
282,NotMajor,NotMajor,2008
290,NotMajor,NotMajor,2008
302,NotMajor,NotMajor,2008
304,NotMajor,NotMajor,2008
309,Louisiana-Lafayette,sun-belt,2008
311,NotMajor,NotMajor,2008
324,NotMajor,NotMajor,2008
326,NotMajor,NotMajor,2008
328,Utah State,wac,2008
331,NotMajor,NotMajor,2008
333,Alabama,sec,2008
344,Mississippi State,sec,2008
349,Army,independent,2008
356,Illinois,big-ten,2008
2005,Air Force,mwc,2008
2006,Akron,mac,2008
2010,NotMajor,NotMajor,2008
2011,NotMajor,NotMajor,2008
2016,NotMajor,NotMajor,2008
2026,NotMajor,NotMajor,2008
2032,Arkansas State,sun-belt,2008
2050,Ball State,mac,2008
2084,Buffalo,mac,2008
2110,NotMajor,NotMajor,2008
2116,UCF,cusa,2008
2117,Central Michigan,mac,2008
2127,NotMajor,NotMajor,2008
2132,Cincinnati,big-east,2008
2169,NotMajor,NotMajor,2008
2197,NotMajor,NotMajor,2008
2198,NotMajor,NotMajor,2008
2199,Eastern Michigan,mac,2008
2226,Florida Atlantic,sun-belt,2008
2229,Florida International,sun-belt,2008
2241,NotMajor,NotMajor,2008
2275,NotMajor,NotMajor,2008
2287,NotMajor,NotMajor,2008
2294,Iowa,big-ten,2008
2305,Kansas,big-12,2008
2306,Kansas State,big-12,2008
2309,Kent State,mac,2008
2348,Louisiana Tech,wac,2008
2377,NotMajor,NotMajor,2008
2390,Miami (FL),acc,2008
2393,Middle Tennessee State,sun-belt,2008
2415,NotMajor,NotMajor,2008
2426,Navy,independent,2008
2433,Louisiana-Monroe,sun-belt,2008
2439,Nevada-Las Vegas,mwc,2008
2440,Nevada,wac,2008
2447,NotMajor,NotMajor,2008
2449,NotMajor,NotMajor,2008
2450,NotMajor,NotMajor,2008
2458,NotMajor,NotMajor,2008
2459,Northern Illinois,mac,2008
2460,NotMajor,NotMajor,2008
2464,NotMajor,NotMajor,2008
2466,NotMajor,NotMajor,2008
2483,Oregon,pac-12,2008
2502,NotMajor,NotMajor,2008
2509,Purdue,big-ten,2008
2534,NotMajor,NotMajor,2008
2535,NotMajor,NotMajor,2008
2545,NotMajor,NotMajor,2008
2546,NotMajor,NotMajor,2008
2567,SMU,cusa,2008
2569,NotMajor,NotMajor,2008
2571,NotMajor,NotMajor,2008
2572,Southern Mississippi,cusa,2008
2579,South Carolina,sec,2008
2582,NotMajor,NotMajor,2008
2617,NotMajor,NotMajor,2008
2623,NotMajor,NotMajor,2008
2628,Texas Christian,mwc,2008
2630,NotMajor,NotMajor,2008
2633,Tennessee,sec,2008
2635,NotMajor,NotMajor,2008
2638,UTEP,cusa,2008
2640,NotMajor,NotMajor,2008
2641,Texas Tech,big-12,2008
2643,NotMajor,NotMajor,2008
2649,Toledo,mac,2008
2653,Troy,sun-belt,2008
2655,Tulane,cusa,2008
2678,NotMajor,NotMajor,2008
2692,NotMajor,NotMajor,2008
2710,NotMajor,NotMajor,2008
2711,Western Michigan,mac,2008
2717,NotMajor,NotMajor,2008
2729,NotMajor,NotMajor,2008
2747,NotMajor,NotMajor,2008
2751,Wyoming,mwc,2008
2754,NotMajor,NotMajor,2008
2755,NotMajor,NotMajor,2008
2,Auburn,sec,2009
5,UAB,cusa,2009
8,Arkansas,sec,2009
9,Arizona State,pac-12,2009
12,Arizona,pac-12,2009
13,NotMajor,NotMajor,2009
16,NotMajor,NotMajor,2009
21,San Diego State,mwc,2009
23,SJSU,wac,2009
24,Stanford,pac-12,2009
25,California,pac-12,2009
26,UCLA,pac-12,2009
30,USC,pac-12,2009
36,Colorado State,mwc,2009
38,Colorado,big-12,2009
41,Connecticut,big-east,2009
47,NotMajor,NotMajor,2009
48,NotMajor,NotMajor,2009
50,NotMajor,NotMajor,2009
52,Florida State,acc,2009
55,NotMajor,NotMajor,2009
57,Florida,sec,2009
58,South Florida,big-east,2009
59,Georgia Tech,acc,2009
61,Georgia,sec,2009
62,Hawaii,wac,2009
66,Iowa State,big-12,2009
68,Boise State,wac,2009
70,Idaho,wac,2009
77,Northwestern,big-ten,2009
79,NotMajor,NotMajor,2009
84,Indiana,big-ten,2009
87,Notre Dame,independent,2009
93,NotMajor,NotMajor,2009
96,Kentucky,sec,2009
97,Louisville,big-east,2009
98,Western Kentucky,sun-belt,2009
99,LSU,sec,2009
103,Boston College,acc,2009
111,NotMajor,NotMajor,2009
113,NotMajor,NotMajor,2009
119,NotMajor,NotMajor,2009
120,Maryland,acc,2009
127,Michigan State,big-ten,2009
130,Michigan,big-ten,2009
135,Minnesota,big-ten,2009
142,Missouri,big-12,2009
145,Ole Miss,sec,2009
147,NotMajor,NotMajor,2009
150,Duke,acc,2009
151,East Carolina,cusa,2009
152,North Carolina State,acc,2009
153,North Carolina,acc,2009
154,Wake Forest,acc,2009
155,NotMajor,NotMajor,2009
158,Nebraska,big-12,2009
160,NotMajor,NotMajor,2009
164,Rutgers,big-east,2009
166,New Mexico State,wac,2009
167,New Mexico,mwc,2009
183,Syracuse,big-east,2009
189,Bowling Green State,mac,2009
193,Miami (OH),mac,2009
194,Ohio State,big-ten,2009
195,Ohio,mac,2009
197,Oklahoma State,big-12,2009
201,Oklahoma,big-12,2009
202,Tulsa,cusa,2009
204,Oregon State,pac-12,2009
213,Penn State,big-ten,2009
218,Temple,mac,2009
221,Pitt,big-east,2009
222,NotMajor,NotMajor,2009
227,NotMajor,NotMajor,2009
228,Clemson,acc,2009
231,NotMajor,NotMajor,2009
235,Memphis,cusa,2009
236,NotMajor,NotMajor,2009
238,Vanderbilt,sec,2009
239,Baylor,big-12,2009
242,Rice,cusa,2009
245,Texas A&M,big-12,2009
248,Houston,cusa,2009
249,North Texas,sun-belt,2009
251,Texas,big-12,2009
252,Brigham Young,mwc,2009
253,NotMajor,NotMajor,2009
254,Utah,mwc,2009
256,NotMajor,NotMajor,2009
257,NotMajor,NotMajor,2009
258,Virginia,acc,2009
259,Virginia Tech,acc,2009
264,Washington,pac-12,2009
265,Washington State,pac-12,2009
275,Wisconsin,big-ten,2009
276,Marshall,cusa,2009
277,West Virginia,big-east,2009
278,Fresno State,wac,2009
282,NotMajor,NotMajor,2009
290,NotMajor,NotMajor,2009
302,NotMajor,NotMajor,2009
304,NotMajor,NotMajor,2009
309,Louisiana-Lafayette,sun-belt,2009
311,NotMajor,NotMajor,2009
324,NotMajor,NotMajor,2009
326,NotMajor,NotMajor,2009
328,Utah State,wac,2009
331,NotMajor,NotMajor,2009
333,Alabama,sec,2009
344,Mississippi State,sec,2009
349,Army,independent,2009
356,Illinois,big-ten,2009
2005,Air Force,mwc,2009
2006,Akron,mac,2009
2016,NotMajor,NotMajor,2009
2026,NotMajor,NotMajor,2009
2032,Arkansas State,sun-belt,2009
2050,Ball State,mac,2009
2084,Buffalo,mac,2009
2110,NotMajor,NotMajor,2009
2116,UCF,cusa,2009
2117,Central Michigan,mac,2009
2127,NotMajor,NotMajor,2009
2132,Cincinnati,big-east,2009
2169,NotMajor,NotMajor,2009
2197,NotMajor,NotMajor,2009
2198,NotMajor,NotMajor,2009
2199,Eastern Michigan,mac,2009
2210,NotMajor,NotMajor,2009
2226,Florida Atlantic,sun-belt,2009
2229,Florida International,sun-belt,2009
2241,NotMajor,NotMajor,2009
2275,NotMajor,NotMajor,2009
2287,NotMajor,NotMajor,2009
2294,Iowa,big-ten,2009
2296,NotMajor,NotMajor,2009
2305,Kansas,big-12,2009
2306,Kansas State,big-12,2009
2309,Kent State,mac,2009
2335,NotMajor,NotMajor,2009
2348,Louisiana Tech,wac,2009
2377,NotMajor,NotMajor,2009
2390,Miami (FL),acc,2009
2393,Middle Tennessee State,sun-belt,2009
2400,NotMajor,NotMajor,2009
2415,NotMajor,NotMajor,2009
2426,Navy,independent,2009
2428,NotMajor,NotMajor,2009
2433,Louisiana-Monroe,sun-belt,2009
2439,Nevada-Las Vegas,mwc,2009
2440,Nevada,wac,2009
2447,NotMajor,NotMajor,2009
2449,NotMajor,NotMajor,2009
2458,NotMajor,NotMajor,2009
2459,Northern Illinois,mac,2009
2460,NotMajor,NotMajor,2009
2464,NotMajor,NotMajor,2009
2466,NotMajor,NotMajor,2009
2483,Oregon,pac-12,2009
2502,NotMajor,NotMajor,2009
2504,NotMajor,NotMajor,2009
2509,Purdue,big-ten,2009
2534,NotMajor,NotMajor,2009
2535,NotMajor,NotMajor,2009
2545,NotMajor,NotMajor,2009
2546,NotMajor,NotMajor,2009
2567,SMU,cusa,2009
2569,NotMajor,NotMajor,2009
2571,NotMajor,NotMajor,2009
2572,Southern Mississippi,cusa,2009
2579,South Carolina,sec,2009
2582,NotMajor,NotMajor,2009
2617,NotMajor,NotMajor,2009
2623,NotMajor,NotMajor,2009
2628,Texas Christian,mwc,2009
2630,NotMajor,NotMajor,2009
2633,Tennessee,sec,2009
2635,NotMajor,NotMajor,2009
2638,UTEP,cusa,2009
2640,NotMajor,NotMajor,2009
2641,Texas Tech,big-12,2009
2643,NotMajor,NotMajor,2009
2649,Toledo,mac,2009
2653,Troy,sun-belt,2009
2655,Tulane,cusa,2009
2678,NotMajor,NotMajor,2009
2692,NotMajor,NotMajor,2009
2710,NotMajor,NotMajor,2009
2711,Western Michigan,mac,2009
2717,NotMajor,NotMajor,2009
2729,NotMajor,NotMajor,2009
2747,NotMajor,NotMajor,2009
2751,Wyoming,mwc,2009
2754,NotMajor,NotMajor,2009
2755,NotMajor,NotMajor,2009
2,Auburn,sec,2010
5,UAB,cusa,2010
8,Arkansas,sec,2010
9,Arizona State,pac-12,2010
12,Arizona,pac-12,2010
13,NotMajor,NotMajor,2010
16,NotMajor,NotMajor,2010
21,San Diego State,mwc,2010
23,SJSU,wac,2010
24,Stanford,pac-12,2010
25,California,pac-12,2010
26,UCLA,pac-12,2010
30,USC,pac-12,2010
36,Colorado State,mwc,2010
38,Colorado,big-12,2010
41,Connecticut,big-east,2010
50,NotMajor,NotMajor,2010
52,Florida State,acc,2010
55,NotMajor,NotMajor,2010
57,Florida,sec,2010
58,South Florida,big-east,2010
59,Georgia Tech,acc,2010
61,Georgia,sec,2010
62,Hawaii,wac,2010
66,Iowa State,big-12,2010
68,Boise State,wac,2010
70,Idaho,wac,2010
77,Northwestern,big-ten,2010
79,NotMajor,NotMajor,2010
84,Indiana,big-ten,2010
87,Notre Dame,independent,2010
93,NotMajor,NotMajor,2010
96,Kentucky,sec,2010
97,Louisville,big-east,2010
98,Western Kentucky,sun-belt,2010
99,LSU,sec,2010
103,Boston College,acc,2010
113,NotMajor,NotMajor,2010
119,NotMajor,NotMajor,2010
120,Maryland,acc,2010
127,Michigan State,big-ten,2010
130,Michigan,big-ten,2010
135,Minnesota,big-ten,2010
142,Missouri,big-12,2010
145,Ole Miss,sec,2010
147,NotMajor,NotMajor,2010
150,Duke,acc,2010
151,East Carolina,cusa,2010
152,North Carolina State,acc,2010
153,North Carolina,acc,2010
154,Wake Forest,acc,2010
155,NotMajor,NotMajor,2010
158,Nebraska,big-12,2010
160,NotMajor,NotMajor,2010
164,Rutgers,big-east,2010
166,New Mexico State,wac,2010
167,New Mexico,mwc,2010
183,Syracuse,big-east,2010
189,Bowling Green State,mac,2010
193,Miami (OH),mac,2010
194,Ohio State,big-ten,2010
195,Ohio,mac,2010
197,Oklahoma State,big-12,2010
201,Oklahoma,big-12,2010
202,Tulsa,cusa,2010
204,Oregon State,pac-12,2010
213,Penn State,big-ten,2010
218,Temple,mac,2010
221,Pitt,big-east,2010
222,NotMajor,NotMajor,2010
227,NotMajor,NotMajor,2010
228,Clemson,acc,2010
231,NotMajor,NotMajor,2010
233,NotMajor,NotMajor,2010
235,Memphis,cusa,2010
236,NotMajor,NotMajor,2010
238,Vanderbilt,sec,2010
239,Baylor,big-12,2010
242,Rice,cusa,2010
245,Texas A&M,big-12,2010
248,Houston,cusa,2010
249,North Texas,sun-belt,2010
251,Texas,big-12,2010
252,Brigham Young,mwc,2010
253,NotMajor,NotMajor,2010
254,Utah,mwc,2010
256,NotMajor,NotMajor,2010
257,NotMajor,NotMajor,2010
258,Virginia,acc,2010
259,Virginia Tech,acc,2010
264,Washington,pac-12,2010
265,Washington State,pac-12,2010
275,Wisconsin,big-ten,2010
276,Marshall,cusa,2010
277,West Virginia,big-east,2010
278,Fresno State,wac,2010
282,NotMajor,NotMajor,2010
290,NotMajor,NotMajor,2010
302,NotMajor,NotMajor,2010
304,NotMajor,NotMajor,2010
309,Louisiana-Lafayette,sun-belt,2010
311,NotMajor,NotMajor,2010
324,NotMajor,NotMajor,2010
326,NotMajor,NotMajor,2010
328,Utah State,wac,2010
331,NotMajor,NotMajor,2010
333,Alabama,sec,2010
344,Mississippi State,sec,2010
349,Army,independent,2010
356,Illinois,big-ten,2010
2005,Air Force,mwc,2010
2006,Akron,mac,2010
2016,NotMajor,NotMajor,2010
2026,NotMajor,NotMajor,2010
2029,NotMajor,NotMajor,2010
2032,Arkansas State,sun-belt,2010
2046,NotMajor,NotMajor,2010
2050,Ball State,mac,2010
2084,Buffalo,mac,2010
2110,NotMajor,NotMajor,2010
2116,UCF,cusa,2010
2117,Central Michigan,mac,2010
2127,NotMajor,NotMajor,2010
2132,Cincinnati,big-east,2010
2142,NotMajor,NotMajor,2010
2197,NotMajor,NotMajor,2010
2198,NotMajor,NotMajor,2010
2199,Eastern Michigan,mac,2010
2210,NotMajor,NotMajor,2010
2226,Florida Atlantic,sun-belt,2010
2229,Florida International,sun-belt,2010
2241,NotMajor,NotMajor,2010
2247,NotMajor,NotMajor,2010
2261,NotMajor,NotMajor,2010
2287,NotMajor,NotMajor,2010
2294,Iowa,big-ten,2010
2305,Kansas,big-12,2010
2306,Kansas State,big-12,2010
2309,Kent State,mac,2010
2335,NotMajor,NotMajor,2010
2348,Louisiana Tech,wac,2010
2377,NotMajor,NotMajor,2010
2390,Miami (FL),acc,2010
2393,Middle Tennessee State,sun-belt,2010
2415,NotMajor,NotMajor,2010
2426,Navy,independent,2010
2433,Louisiana-Monroe,sun-belt,2010
2439,Nevada-Las Vegas,mwc,2010
2440,Nevada,wac,2010
2447,NotMajor,NotMajor,2010
2449,NotMajor,NotMajor,2010
2450,NotMajor,NotMajor,2010
2458,NotMajor,NotMajor,2010
2459,Northern Illinois,mac,2010
2460,NotMajor,NotMajor,2010
2464,NotMajor,NotMajor,2010
2466,NotMajor,NotMajor,2010
2483,Oregon,pac-12,2010
2502,NotMajor,NotMajor,2010
2504,NotMajor,NotMajor,2010
2506,NotMajor,NotMajor,2010
2509,Purdue,big-ten,2010
2534,NotMajor,NotMajor,2010
2535,NotMajor,NotMajor,2010
2545,NotMajor,NotMajor,2010
2546,NotMajor,NotMajor,2010
2567,SMU,cusa,2010
2569,NotMajor,NotMajor,2010
2571,NotMajor,NotMajor,2010
2572,Southern Mississippi,cusa,2010
2579,South Carolina,sec,2010
2617,NotMajor,NotMajor,2010
2619,NotMajor,NotMajor,2010
2623,NotMajor,NotMajor,2010
2628,Texas Christian,mwc,2010
2630,NotMajor,NotMajor,2010
2633,Tennessee,sec,2010
2635,NotMajor,NotMajor,2010
2638,UTEP,cusa,2010
2640,NotMajor,NotMajor,2010
2641,Texas Tech,big-12,2010
