"Team","Year","Conf"
"Western Kentucky",2007,"independent"
"Army",2007,"independent"
"Notre Dame",2007,"independent"
"Notre Dame",2006,"independent"
"Navy",2006,"independent"
"Army",2006,"independent"
"Temple",2006,"independent"
"Notre Dame",2005,"independent"
"Navy",2005,"independent"
"Army",2005,"independent"
"Temple",2005,"independent"
"Navy",2004,"independent"
"Notre Dame",2004,"independent"
"Florida A&M",2004,"independent"
"Connecticut",2003,"independent"
"Navy",2003,"independent"
"Troy",2003,"independent"
"Notre Dame",2003,"independent"
"South Florida",2002,"independent"
"Notre Dame",2002,"independent"
"Connecticut",2002,"independent"
"Troy",2002,"independent"
"Utah State",2002,"independent"
"Navy",2002,"independent"
"South Florida",2001,"independent"
"Troy",2001,"independent"
"UCF",2001,"independent"
"Notre Dame",2001,"independent"
"Utah State",2001,"independent"
"Connecticut",2001,"independent"
"Navy",2001,"independent"
"Akron",2017,"mac"
"Ohio",2017,"mac"
"Buffalo",2017,"mac"
"Miami (OH)",2017,"mac"
"Bowling Green State",2017,"mac"
"Kent State",2017,"mac"
"Toledo",2017,"mac"
"Central Michigan",2017,"mac"
"Northern Illinois",2017,"mac"
"Western Michigan",2017,"mac"
"Eastern Michigan",2017,"mac"
"Ball State",2017,"mac"
"Ohio",2016,"mac"
"Miami (OH)",2016,"mac"
"Akron",2016,"mac"
"Bowling Green State",2016,"mac"
"Kent State",2016,"mac"
"Buffalo",2016,"mac"
"Western Michigan",2016,"mac"
"Toledo",2016,"mac"
"Northern Illinois",2016,"mac"
"Eastern Michigan",2016,"mac"
"Central Michigan",2016,"mac"
"Ball State",2016,"mac"
"Bowling Green State",2015,"mac"
"Akron",2015,"mac"
"Ohio",2015,"mac"
"Buffalo",2015,"mac"
"Kent State",2015,"mac"
"Massachusetts",2015,"mac"
"Miami (OH)",2015,"mac"
"Toledo",2015,"mac"
"Western Michigan",2015,"mac"
"Central Michigan",2015,"mac"
"Northern Illinois",2015,"mac"
"Ball State",2015,"mac"
"Eastern Michigan",2015,"mac"
"Bowling Green State",2014,"mac"
"Ohio",2014,"mac"
"Buffalo",2014,"mac"
"Akron",2014,"mac"
"Massachusetts",2014,"mac"
"Miami (OH)",2014,"mac"
"Kent State",2014,"mac"
"Northern Illinois",2014,"mac"
"Toledo",2014,"mac"
"Western Michigan",2014,"mac"
"Central Michigan",2014,"mac"
"Ball State",2014,"mac"
"Eastern Michigan",2014,"mac"
"Bowling Green State",2013,"mac"
"Buffalo",2013,"mac"
"Ohio",2013,"mac"
"Akron",2013,"mac"
"Kent State",2013,"mac"
"Massachusetts",2013,"mac"
"Miami (OH)",2013,"mac"
"Northern Illinois",2013,"mac"
"Ball State",2013,"mac"
"Central Michigan",2013,"mac"
"Toledo",2013,"mac"
"Eastern Michigan",2013,"mac"
"Western Michigan",2013,"mac"
"Kent State",2012,"mac"
"Bowling Green State",2012,"mac"
"Ohio",2012,"mac"
"Buffalo",2012,"mac"
"Miami (OH)",2012,"mac"
"Massachusetts",2012,"mac"
"Akron",2012,"mac"
"Northern Illinois",2012,"mac"
"Ball State",2012,"mac"
"Toledo",2012,"mac"
"Central Michigan",2012,"mac"
"Western Michigan",2012,"mac"
"Eastern Michigan",2012,"mac"
"Ohio",2011,"mac"
"Temple",2011,"mac"
"Kent State",2011,"mac"
"Bowling Green State",2011,"mac"
"Miami (OH)",2011,"mac"
"Buffalo",2011,"mac"
"Akron",2011,"mac"
"Northern Illinois",2011,"mac"
"Toledo",2011,"mac"
"Western Michigan",2011,"mac"
"Ball State",2011,"mac"
"Eastern Michigan",2011,"mac"
"Central Michigan",2011,"mac"
"Miami (OH)",2010,"mac"
"Ohio",2010,"mac"
"Temple",2010,"mac"
"Kent State",2010,"mac"
"Bowling Green State",2010,"mac"
"Buffalo",2010,"mac"
"Akron",2010,"mac"
"Northern Illinois",2010,"mac"
"Toledo",2010,"mac"
"Western Michigan",2010,"mac"
"Ball State",2010,"mac"
"Central Michigan",2010,"mac"
"Eastern Michigan",2010,"mac"
"Ohio",2009,"mac"
"Temple",2009,"mac"
"Bowling Green State",2009,"mac"
"Kent State",2009,"mac"
"Buffalo",2009,"mac"
"Akron",2009,"mac"
"Miami (OH)",2009,"mac"
"Central Michigan",2009,"mac"
"Northern Illinois",2009,"mac"
"Western Michigan",2009,"mac"
"Toledo",2009,"mac"
"Ball State",2009,"mac"
"Eastern Michigan",2009,"mac"
"Buffalo",2008,"mac"
"Bowling Green State",2008,"mac"
"Temple",2008,"mac"
"Akron",2008,"mac"
"Kent State",2008,"mac"
"Ohio",2008,"mac"
"Miami (OH)",2008,"mac"
"Ball State",2008,"mac"
"Central Michigan",2008,"mac"
"Western Michigan",2008,"mac"
"Northern Illinois",2008,"mac"
"Eastern Michigan",2008,"mac"
"Toledo",2008,"mac"
"Bowling Green State",2007,"mac"
"Miami (OH)",2007,"mac"
"Buffalo",2007,"mac"
"Ohio",2007,"mac"
"Temple",2007,"mac"
"Akron",2007,"mac"
"Kent State",2007,"mac"
"Central Michigan",2007,"mac"
"Ball State",2007,"mac"
"Western Michigan",2007,"mac"
"Eastern Michigan",2007,"mac"
"Toledo",2007,"mac"
"Northern Illinois",2007,"mac"
"Ohio",2006,"mac"
"Kent State",2006,"mac"
"Akron",2006,"mac"
"Bowling Green State",2006,"mac"
"Miami (OH)",2006,"mac"
"Buffalo",2006,"mac"
"Central Michigan",2006,"mac"
"Western Michigan",2006,"mac"
"Northern Illinois",2006,"mac"
"Ball State",2006,"mac"
"Toledo",2006,"mac"
"Eastern Michigan",2006,"mac"
"Miami (OH)",2005,"mac"
"Akron",2005,"mac"
"Bowling Green State",2005,"mac"
"Ohio",2005,"mac"
"Buffalo",2005,"mac"
"Kent State",2005,"mac"
"Toledo",2005,"mac"
"Northern Illinois",2005,"mac"
"Western Michigan",2005,"mac"
"Central Michigan",2005,"mac"
"Ball State",2005,"mac"
"Eastern Michigan",2005,"mac"
"Miami (OH)",2004,"mac"
"Akron",2004,"mac"
"Marshall",2004,"mac"
"Kent State",2004,"mac"
"Ohio",2004,"mac"
"Buffalo",2004,"mac"
"UCF",2004,"mac"
"Northern Illinois",2004,"mac"
"Toledo",2004,"mac"
"Bowling Green State",2004,"mac"
"Eastern Michigan",2004,"mac"
"Central Michigan",2004,"mac"
"Ball State",2004,"mac"
"Western Michigan",2004,"mac"
"Miami (OH)",2003,"mac"
"Marshall",2003,"mac"
"Akron",2003,"mac"
"Kent State",2003,"mac"
"UCF",2003,"mac"
"Ohio",2003,"mac"
"Buffalo",2003,"mac"
"Bowling Green State",2003,"mac"
"Northern Illinois",2003,"mac"
"Toledo",2003,"mac"
"Western Michigan",2003,"mac"
"Ball State",2003,"mac"
"Eastern Michigan",2003,"mac"
"Central Michigan",2003,"mac"
"Marshall",2002,"mac"
"UCF",2002,"mac"
"Miami (OH)",2002,"mac"
"Ohio",2002,"mac"
"Akron",2002,"mac"
"Kent State",2002,"mac"
"Buffalo",2002,"mac"
"Northern Illinois",2002,"mac"
"Toledo",2002,"mac"
"Bowling Green State",2002,"mac"
"Ball State",2002,"mac"
"Western Michigan",2002,"mac"
"Central Michigan",2002,"mac"
"Eastern Michigan",2002,"mac"
"Marshall",2001,"mac"
"Miami (OH)",2001,"mac"
"Bowling Green State",2001,"mac"
"Kent State",2001,"mac"
"Akron",2001,"mac"
"Buffalo",2001,"mac"
"Ohio",2001,"mac"
"Toledo",2001,"mac"
"Northern Illinois",2001,"mac"
"Ball State",2001,"mac"
"Western Michigan",2001,"mac"
"Central Michigan",2001,"mac"
"Eastern Michigan",2001,"mac"
"Boise State",2017,"mwc"
"Wyoming",2017,"mwc"
"Colorado State",2017,"mwc"
"Air Force",2017,"mwc"
"Utah State",2017,"mwc"
"New Mexico",2017,"mwc"
"Fresno State",2017,"mwc"
"San Diego State",2017,"mwc"
"Nevada-Las Vegas",2017,"mwc"
"Nevada",2017,"mwc"
"Hawaii",2017,"mwc"
"San Jose State",2017,"mwc"
"Boise State",2016,"mwc"
"New Mexico",2016,"mwc"
"Wyoming",2016,"mwc"
"Air Force",2016,"mwc"
"Colorado State",2016,"mwc"
"Utah State",2016,"mwc"
"San Diego State",2016,"mwc"
"Hawaii",2016,"mwc"
"Nevada",2016,"mwc"
"Nevada-Las Vegas",2016,"mwc"
"San Jose State",2016,"mwc"
"Fresno State",2016,"mwc"
"Air Force",2015,"mwc"
"Boise State",2015,"mwc"
"Colorado State",2015,"mwc"
"New Mexico",2015,"mwc"
"Utah State",2015,"mwc"
"Wyoming",2015,"mwc"
"San Diego State",2015,"mwc"
"Nevada",2015,"mwc"
"San Jose State",2015,"mwc"
"Fresno State",2015,"mwc"
"Nevada-Las Vegas",2015,"mwc"
"Hawaii",2015,"mwc"
"Boise State",2014,"mwc"
"Colorado State",2014,"mwc"
"Utah State",2014,"mwc"
"Air Force",2014,"mwc"
"New Mexico",2014,"mwc"
"Wyoming",2014,"mwc"
"San Diego State",2014,"mwc"
"Fresno State",2014,"mwc"
"Nevada",2014,"mwc"
"Hawaii",2014,"mwc"
"San Jose State",2014,"mwc"
"Nevada-Las Vegas",2014,"mwc"
"Utah State",2013,"mwc"
"Boise State",2013,"mwc"
"Colorado State",2013,"mwc"
"Wyoming",2013,"mwc"
"New Mexico",2013,"mwc"
"Air Force",2013,"mwc"
"Fresno State",2013,"mwc"
"San Diego State",2013,"mwc"
"Nevada-Las Vegas",2013,"mwc"
"San Jose State",2013,"mwc"
"Nevada",2013,"mwc"
"Hawaii",2013,"mwc"
"Boise State",2012,"mwc"
"Fresno State",2012,"mwc"
"San Diego State",2012,"mwc"
"Air Force",2012,"mwc"
"Nevada",2012,"mwc"
"Colorado State",2012,"mwc"
"Wyoming",2012,"mwc"
"Nevada-Las Vegas",2012,"mwc"
"New Mexico",2012,"mwc"
"Hawaii",2012,"mwc"
"Texas Christian",2011,"mwc"
"Boise State",2011,"mwc"
"Wyoming",2011,"mwc"
"San Diego State",2011,"mwc"
"Air Force",2011,"mwc"
"Colorado State",2011,"mwc"
"Nevada-Las Vegas",2011,"mwc"
"New Mexico",2011,"mwc"
"Texas Christian",2010,"mwc"
"Utah",2010,"mwc"
"Air Force",2010,"mwc"
"San Diego State",2010,"mwc"
"Brigham Young",2010,"mwc"
"Colorado State",2010,"mwc"
"Nevada-Las Vegas",2010,"mwc"
"Wyoming",2010,"mwc"
"New Mexico",2010,"mwc"
"Texas Christian",2009,"mwc"
"Brigham Young",2009,"mwc"
"Utah",2009,"mwc"
"Air Force",2009,"mwc"
"Wyoming",2009,"mwc"
"Nevada-Las Vegas",2009,"mwc"
"San Diego State",2009,"mwc"
"New Mexico",2009,"mwc"
"Colorado State",2009,"mwc"
"Utah",2008,"mwc"
"Texas Christian",2008,"mwc"
"Brigham Young",2008,"mwc"
"Air Force",2008,"mwc"
"Colorado State",2008,"mwc"
"Nevada-Las Vegas",2008,"mwc"
"New Mexico",2008,"mwc"
"Wyoming",2008,"mwc"
"San Diego State",2008,"mwc"
"Brigham Young",2007,"mwc"
"Air Force",2007,"mwc"
"New Mexico",2007,"mwc"
"Utah",2007,"mwc"
"Texas Christian",2007,"mwc"
"San Diego State",2007,"mwc"
"Wyoming",2007,"mwc"
"Colorado State",2007,"mwc"
"Nevada-Las Vegas",2007,"mwc"
"Brigham Young",2006,"mwc"
"Texas Christian",2006,"mwc"
"Utah",2006,"mwc"
"Wyoming",2006,"mwc"
"New Mexico",2006,"mwc"
"Air Force",2006,"mwc"
"San Diego State",2006,"mwc"
"Colorado State",2006,"mwc"
"Nevada-Las Vegas",2006,"mwc"
"Texas Christian",2005,"mwc"
"Brigham Young",2005,"mwc"
"Colorado State",2005,"mwc"
"New Mexico",2005,"mwc"
"Utah",2005,"mwc"
"San Diego State",2005,"mwc"
"Air Force",2005,"mwc"
"Wyoming",2005,"mwc"
"Nevada-Las Vegas",2005,"mwc"
"Utah",2004,"mwc"
"New Mexico",2004,"mwc"
"Brigham Young",2004,"mwc"
"Wyoming",2004,"mwc"
"Air Force",2004,"mwc"
"Colorado State",2004,"mwc"
"San Diego State",2004,"mwc"
"Nevada-Las Vegas",2004,"mwc"
"Utah",2003,"mwc"
"New Mexico",2003,"mwc"
"Colorado State",2003,"mwc"
"Air Force",2003,"mwc"
"San Diego State",2003,"mwc"
"Brigham Young",2003,"mwc"
"Nevada-Las Vegas",2003,"mwc"
"Wyoming",2003,"mwc"
"Colorado State",2002,"mwc"
"New Mexico",2002,"mwc"
"Air Force",2002,"mwc"
"San Diego State",2002,"mwc"
"Nevada-Las Vegas",2002,"mwc"
"Utah",2002,"mwc"
"Brigham Young",2002,"mwc"
"Wyoming",2002,"mwc"
"Brigham Young",2001,"mwc"
"Colorado State",2001,"mwc"
"Utah",2001,"mwc"
"New Mexico",2001,"mwc"
"Air Force",2001,"mwc"
"Nevada-Las Vegas",2001,"mwc"
"San Diego State",2001,"mwc"
"Wyoming",2001,"mwc"
"Washington",2017,"pac-12"
"Stanford",2017,"pac-12"
"Washington State",2017,"pac-12"
"Oregon",2017,"pac-12"
"California",2017,"pac-12"
"Oregon State",2017,"pac-12"
"USC",2017,"pac-12"
"Arizona State",2017,"pac-12"
"Arizona",2017,"pac-12"
"UCLA",2017,"pac-12"
"Utah",2017,"pac-12"
"Colorado",2017,"pac-12"
"Washington",2016,"pac-12"
"Washington State",2016,"pac-12"
"Stanford",2016,"pac-12"
"California",2016,"pac-12"
"Oregon State",2016,"pac-12"
"Oregon",2016,"pac-12"
"Colorado",2016,"pac-12"
"USC",2016,"pac-12"
"Utah",2016,"pac-12"
"Arizona State",2016,"pac-12"
"UCLA",2016,"pac-12"
"Arizona",2016,"pac-12"
"Stanford",2015,"pac-12"
"Oregon",2015,"pac-12"
"Washington State",2015,"pac-12"
"California",2015,"pac-12"
"Washington",2015,"pac-12"
"Oregon State",2015,"pac-12"
"Utah",2015,"pac-12"
"USC",2015,"pac-12"
"UCLA",2015,"pac-12"
"Arizona State",2015,"pac-12"
"Arizona",2015,"pac-12"
"Colorado",2015,"pac-12"
"Oregon",2014,"pac-12"
"Stanford",2014,"pac-12"
"Washington",2014,"pac-12"
"California",2014,"pac-12"
"Oregon State",2014,"pac-12"
"Washington State",2014,"pac-12"
"Arizona",2014,"pac-12"
"Arizona State",2014,"pac-12"
"UCLA",2014,"pac-12"
"USC",2014,"pac-12"
"Utah",2014,"pac-12"
"Colorado",2014,"pac-12"
"Oregon",2013,"pac-12"
"Stanford",2013,"pac-12"
"Washington",2013,"pac-12"
"Oregon State",2013,"pac-12"
"Washington State",2013,"pac-12"
"California",2013,"pac-12"
"Arizona State",2013,"pac-12"
"UCLA",2013,"pac-12"
"USC",2013,"pac-12"
"Arizona",2013,"pac-12"
"Utah",2013,"pac-12"
"Colorado",2013,"pac-12"
"Oregon",2012,"pac-12"
"Stanford",2012,"pac-12"
"Oregon State",2012,"pac-12"
"Washington",2012,"pac-12"
"California",2012,"pac-12"
"Washington State",2012,"pac-12"
"UCLA",2012,"pac-12"
"Arizona State",2012,"pac-12"
"USC",2012,"pac-12"
"Arizona",2012,"pac-12"
"Utah",2012,"pac-12"
"Colorado",2012,"pac-12"
"Oregon",2011,"pac-12"
"Stanford",2011,"pac-12"
"Washington",2011,"pac-12"
"California",2011,"pac-12"
"Oregon State",2011,"pac-12"
"Washington State",2011,"pac-12"
"USC",2011,"pac-12"
"UCLA",2011,"pac-12"
"Utah",2011,"pac-12"
"Arizona State",2011,"pac-12"
"Arizona",2011,"pac-12"
"Colorado",2011,"pac-12"
"Oregon",2010,"pac-12"
"Stanford",2010,"pac-12"
"USC",2010,"pac-12"
"Washington",2010,"pac-12"
"Arizona",2010,"pac-12"
"Arizona State",2010,"pac-12"
"Oregon State",2010,"pac-12"
"California",2010,"pac-12"
"UCLA",2010,"pac-12"
"Washington State",2010,"pac-12"
"Oregon",2009,"pac-12"
"Arizona",2009,"pac-12"
"Oregon State",2009,"pac-12"
"Stanford",2009,"pac-12"
"California",2009,"pac-12"
"USC",2009,"pac-12"
"Washington",2009,"pac-12"
"UCLA",2009,"pac-12"
"Arizona State",2009,"pac-12"
"Washington State",2009,"pac-12"
"USC",2008,"pac-12"
"Oregon",2008,"pac-12"
"Oregon State",2008,"pac-12"
"California",2008,"pac-12"
"Arizona",2008,"pac-12"
"Arizona State",2008,"pac-12"
"Stanford",2008,"pac-12"
"UCLA",2008,"pac-12"
"Washington State",2008,"pac-12"
"Washington",2008,"pac-12"
"USC",2007,"pac-12"
"Arizona State",2007,"pac-12"
"Oregon State",2007,"pac-12"
"Oregon",2007,"pac-12"
"UCLA",2007,"pac-12"
"Arizona",2007,"pac-12"
"California",2007,"pac-12"
"Washington State",2007,"pac-12"
"Stanford",2007,"pac-12"
"Washington",2007,"pac-12"
"USC",2006,"pac-12"
"California",2006,"pac-12"
"Oregon State",2006,"pac-12"
"UCLA",2006,"pac-12"
"Arizona",2006,"pac-12"
"Arizona State",2006,"pac-12"
"Oregon",2006,"pac-12"
"Washington State",2006,"pac-12"
"Washington",2006,"pac-12"
"Stanford",2006,"pac-12"
"USC",2005,"pac-12"
"Oregon",2005,"pac-12"
"UCLA",2005,"pac-12"
"California",2005,"pac-12"
"Arizona State",2005,"pac-12"
"Stanford",2005,"pac-12"
"Oregon State",2005,"pac-12"
"Arizona",2005,"pac-12"
"Washington State",2005,"pac-12"
"Washington",2005,"pac-12"
"USC",2004,"pac-12"
"California",2004,"pac-12"
"Arizona State",2004,"pac-12"
"Oregon State",2004,"pac-12"
"UCLA",2004,"pac-12"
"Oregon",2004,"pac-12"
"Washington State",2004,"pac-12"
"Stanford",2004,"pac-12"
"Arizona",2004,"pac-12"
"Washington",2004,"pac-12"
"USC",2003,"pac-12"
"Washington State",2003,"pac-12"
"Oregon",2003,"pac-12"
"California",2003,"pac-12"
"Oregon State",2003,"pac-12"
"Washington",2003,"pac-12"
"UCLA",2003,"pac-12"
"Arizona State",2003,"pac-12"
"Stanford",2003,"pac-12"
"Arizona",2003,"pac-12"
"USC",2002,"pac-12"
"Washington State",2002,"pac-12"
"Arizona State",2002,"pac-12"
"Oregon State",2002,"pac-12"
"UCLA",2002,"pac-12"
"California",2002,"pac-12"
"Washington",2002,"pac-12"
"Oregon",2002,"pac-12"
"Arizona",2002,"pac-12"
"Stanford",2002,"pac-12"
"Oregon",2001,"pac-12"
"Washington State",2001,"pac-12"
"Stanford",2001,"pac-12"
"Washington",2001,"pac-12"
"USC",2001,"pac-12"
"UCLA",2001,"pac-12"
"Oregon State",2001,"pac-12"
"Arizona",2001,"pac-12"
"Arizona State",2001,"pac-12"
"California",2001,"pac-12"
"Georgia",2017,"sec"
"South Carolina",2017,"sec"
"Kentucky",2017,"sec"
"Missouri",2017,"sec"
"Florida",2017,"sec"
"Vanderbilt",2017,"sec"
"Tennessee",2017,"sec"
"Alabama",2017,"sec"
"Auburn",2017,"sec"
"LSU",2017,"sec"
"Mississippi State",2017,"sec"
"Texas A&M",2017,"sec"
"Ole Miss",2017,"sec"
"Arkansas",2017,"sec"
"Florida",2016,"sec"
"Georgia",2016,"sec"
"Tennessee",2016,"sec"
"Kentucky",2016,"sec"
"South Carolina",2016,"sec"
"Vanderbilt",2016,"sec"
"Missouri",2016,"sec"
"Alabama",2016,"sec"
"Auburn",2016,"sec"
"LSU",2016,"sec"
"Texas A&M",2016,"sec"
"Arkansas",2016,"sec"
"Mississippi State",2016,"sec"
"Ole Miss",2016,"sec"
"Florida",2015,"sec"
"Georgia",2015,"sec"
"Tennessee",2015,"sec"
"Kentucky",2015,"sec"
"Vanderbilt",2015,"sec"
"Missouri",2015,"sec"
"South Carolina",2015,"sec"
"Alabama",2015,"sec"
"Ole Miss",2015,"sec"
"LSU",2015,"sec"
"Arkansas",2015,"sec"
"Mississippi State",2015,"sec"
"Texas A&M",2015,"sec"
"Auburn",2015,"sec"
"Missouri",2014,"sec"
"Georgia",2014,"sec"
"Florida",2014,"sec"
"South Carolina",2014,"sec"
"Tennessee",2014,"sec"
"Kentucky",2014,"sec"
"Vanderbilt",2014,"sec"
"Alabama",2014,"sec"
"Mississippi State",2014,"sec"
"Ole Miss",2014,"sec"
"Auburn",2014,"sec"
"LSU",2014,"sec"
"Texas A&M",2014,"sec"
"Arkansas",2014,"sec"
"Missouri",2013,"sec"
"South Carolina",2013,"sec"
"Georgia",2013,"sec"
"Vanderbilt",2013,"sec"
"Florida",2013,"sec"
"Tennessee",2013,"sec"
"Kentucky",2013,"sec"
"Alabama",2013,"sec"
"Auburn",2013,"sec"
"LSU",2013,"sec"
"Texas A&M",2013,"sec"
"Ole Miss",2013,"sec"
"Mississippi State",2013,"sec"
"Arkansas",2013,"sec"
"Florida",2012,"sec"
"Georgia",2012,"sec"
"South Carolina",2012,"sec"
"Vanderbilt",2012,"sec"
"Missouri",2012,"sec"
"Tennessee",2012,"sec"
"Kentucky",2012,"sec"
"Alabama",2012,"sec"
"Texas A&M",2012,"sec"
"LSU",2012,"sec"
"Mississippi State",2012,"sec"
"Ole Miss",2012,"sec"
"Arkansas",2012,"sec"
"Auburn",2012,"sec"
"Georgia",2011,"sec"
"South Carolina",2011,"sec"
"Florida",2011,"sec"
"Kentucky",2011,"sec"
"Vanderbilt",2011,"sec"
"Tennessee",2011,"sec"
"LSU",2011,"sec"
"Alabama",2011,"sec"
"Arkansas",2011,"sec"
"Auburn",2011,"sec"
"Mississippi State",2011,"sec"
"Ole Miss",2011,"sec"
"South Carolina",2010,"sec"
"Florida",2010,"sec"
"Georgia",2010,"sec"
"Tennessee",2010,"sec"
"Kentucky",2010,"sec"
"Vanderbilt",2010,"sec"
"Auburn",2010,"sec"
"LSU",2010,"sec"
"Arkansas",2010,"sec"
"Alabama",2010,"sec"
"Mississippi State",2010,"sec"
"Ole Miss",2010,"sec"
"Florida",2009,"sec"
"Georgia",2009,"sec"
"Tennessee",2009,"sec"
"Kentucky",2009,"sec"
"South Carolina",2009,"sec"
"Vanderbilt",2009,"sec"
"Alabama",2009,"sec"
"LSU",2009,"sec"
"Ole Miss",2009,"sec"
"Arkansas",2009,"sec"
"Auburn",2009,"sec"
"Mississippi State",2009,"sec"
"Florida",2008,"sec"
"Georgia",2008,"sec"
"South Carolina",2008,"sec"
"Vanderbilt",2008,"sec"
"Tennessee",2008,"sec"
"Kentucky",2008,"sec"
"Alabama",2008,"sec"
"Ole Miss",2008,"sec"
"LSU",2008,"sec"
"Arkansas",2008,"sec"
"Auburn",2008,"sec"
"Mississippi State",2008,"sec"
"Georgia",2007,"sec"
"Tennessee",2007,"sec"
"Florida",2007,"sec"
"Kentucky",2007,"sec"
"South Carolina",2007,"sec"
"Vanderbilt",2007,"sec"
"LSU",2007,"sec"
"Auburn",2007,"sec"
"Arkansas",2007,"sec"
"Mississippi State",2007,"sec"
"Alabama",2007,"sec"
"Ole Miss",2007,"sec"
"Florida",2006,"sec"
"Tennessee",2006,"sec"
"Georgia",2006,"sec"
"Kentucky",2006,"sec"
"South Carolina",2006,"sec"
"Vanderbilt",2006,"sec"
"Arkansas",2006,"sec"
"Auburn",2006,"sec"
"LSU",2006,"sec"
"Alabama",2006,"sec"
"Ole Miss",2006,"sec"
"Mississippi State",2006,"sec"
"Georgia",2005,"sec"
"Florida",2005,"sec"
"South Carolina",2005,"sec"
"Tennessee",2005,"sec"
"Vanderbilt",2005,"sec"
"Kentucky",2005,"sec"
"LSU",2005,"sec"
"Auburn",2005,"sec"
"Alabama",2005,"sec"
"Arkansas",2005,"sec"
"Mississippi State",2005,"sec"
"Ole Miss",2005,"sec"
"Tennessee",2004,"sec"
"Georgia",2004,"sec"
"Florida",2004,"sec"
"South Carolina",2004,"sec"
"Kentucky",2004,"sec"
"Vanderbilt",2004,"sec"
"Auburn",2004,"sec"
"LSU",2004,"sec"
"Alabama",2004,"sec"
"Arkansas",2004,"sec"
"Ole Miss",2004,"sec"
"Mississippi State",2004,"sec"
"Georgia",2003,"sec"
"Tennessee",2003,"sec"
"Florida",2003,"sec"
"South Carolina",2003,"sec"
"Kentucky",2003,"sec"
"Vanderbilt",2003,"sec"
"LSU",2003,"sec"
"Ole Miss",2003,"sec"
"Auburn",2003,"sec"
"Arkansas",2003,"sec"
"Alabama",2003,"sec"
"Mississippi State",2003,"sec"
"Georgia",2002,"sec"
"Florida",2002,"sec"
"Tennessee",2002,"sec"
"Kentucky",2002,"sec"
"South Carolina",2002,"sec"
"Vanderbilt",2002,"sec"
"Alabama",2002,"sec"
"Arkansas",2002,"sec"
"Auburn",2002,"sec"
"LSU",2002,"sec"
"Ole Miss",2002,"sec"
"Mississippi State",2002,"sec"
"Tennessee",2001,"sec"
"Florida",2001,"sec"
"South Carolina",2001,"sec"
"Georgia",2001,"sec"
"Kentucky",2001,"sec"
"Vanderbilt",2001,"sec"
"LSU",2001,"sec"
"Auburn",2001,"sec"
"Ole Miss",2001,"sec"
"Alabama",2001,"sec"
"Arkansas",2001,"sec"
"Mississippi State",2001,"sec"
"Appalachian State",2017,"sun-belt"
"Coastal Carolina",2017,"sun-belt"
"Georgia Southern",2017,"sun-belt"
"Troy",2017,"sun-belt"
"Arkansas State",2017,"sun-belt"
"Georgia State",2017,"sun-belt"
"New Mexico State",2017,"sun-belt"
"Louisiana",2017,"sun-belt"
"Louisiana-Monroe",2017,"sun-belt"
"Idaho",2017,"sun-belt"
"South Alabama",2017,"sun-belt"
"Texas State",2017,"sun-belt"
"Appalachian State",2016,"sun-belt"
"Georgia Southern",2016,"sun-belt"
"Arkansas State",2016,"sun-belt"
"Troy",2016,"sun-belt"
"Idaho",2016,"sun-belt"
"Louisiana",2016,"sun-belt"
"Louisiana-Monroe",2016,"sun-belt"
"South Alabama",2016,"sun-belt"
"Georgia State",2016,"sun-belt"
"New Mexico State",2016,"sun-belt"
"Texas State",2016,"sun-belt"
"Appalachian State",2015,"sun-belt"
"Georgia Southern",2015,"sun-belt"
"Arkansas State",2015,"sun-belt"
"Georgia State",2015,"sun-belt"
"South Alabama",2015,"sun-belt"
"Idaho",2015,"sun-belt"
"Louisiana",2015,"sun-belt"
"Troy",2015,"sun-belt"
"New Mexico State",2015,"sun-belt"
"Texas State",2015,"sun-belt"
"Louisiana-Monroe",2015,"sun-belt"
"Georgia Southern",2014,"sun-belt"
"Appalachian State",2014,"sun-belt"
"Louisiana",2014,"sun-belt"
"Arkansas State",2014,"sun-belt"
"Texas State",2014,"sun-belt"
"South Alabama",2014,"sun-belt"
"Louisiana-Monroe",2014,"sun-belt"
"Troy",2014,"sun-belt"
"New Mexico State",2014,"sun-belt"
"Idaho",2014,"sun-belt"
"Georgia State",2014,"sun-belt"
"Arkansas State",2013,"sun-belt"
"Louisiana",2013,"sun-belt"
"Western Kentucky",2013,"sun-belt"
"Louisiana-Monroe",2013,"sun-belt"
"South Alabama",2013,"sun-belt"
"Troy",2013,"sun-belt"
"Texas State",2013,"sun-belt"
"Georgia State",2013,"sun-belt"
"Arkansas State",2012,"sun-belt"
"Louisiana",2012,"sun-belt"
"Louisiana-Monroe",2012,"sun-belt"
"Middle Tennessee State",2012,"sun-belt"
"Western Kentucky",2012,"sun-belt"
"Troy",2012,"sun-belt"
"North Texas",2012,"sun-belt"
"Florida Atlantic",2012,"sun-belt"
"Florida International",2012,"sun-belt"
"South Alabama",2012,"sun-belt"
"Arkansas State",2011,"sun-belt"
"Western Kentucky",2011,"sun-belt"
"Louisiana",2011,"sun-belt"
"Florida International",2011,"sun-belt"
"North Texas",2011,"sun-belt"
"Louisiana-Monroe",2011,"sun-belt"
"Troy",2011,"sun-belt"
"Middle Tennessee State",2011,"sun-belt"
"Florida Atlantic",2011,"sun-belt"
"Troy",2010,"sun-belt"
"Florida International",2010,"sun-belt"
"Middle Tennessee State",2010,"sun-belt"
"Louisiana-Monroe",2010,"sun-belt"
